Protocol,Model_1,Model_2,MAE_Model_1,MAE_Model_2,MAE_Difference_M1_minus_M2,RMSE_Difference_M1_minus_M2,MASE_48_Difference_M1_minus_M2,Percentage_MAE_Improvement_M1_vs_M2,Percentage_MASE_Improvement_M1_vs_M2,Paired_Cohens_d_Absolute_Error,Practical_Winner
B,Weekly_Seasonal_Naive,LSTM,153.21076877564104,152.92681668695312,0.28395208868792565,56.638427815105814,0.00242573902128429,-0.18567841457733741,-0.18567841457733741,0.0012928198248062953,LSTM
B,Weekly_Seasonal_Naive,Chronos_Bolt_Tiny,153.21076877564104,126.11953364912506,27.091235126515983,78.3175773659637,0.23143434684646502,-21.480602046853452,-21.480602046853452,0.1367755992697831,Chronos_Bolt_Tiny
B,Weekly_Seasonal_Naive,TimesFM,153.21076877564104,80.67538403053535,72.53538474510569,140.17738199528634,0.6196535268083758,-89.91018216616273,-89.91018216616273,0.386450260261321,TimesFM
B,Moving_Average,ARIMA,203.19927685445023,521.9705076308351,-318.77123077638487,-308.98926199791606,-2.7231911444291566,61.070736012126694,61.070736012126694,-1.2635433725594825,Moving_Average
B,Moving_Average,SARIMA,203.19927685445023,122.78225628042182,80.41702057402841,64.22531883570096,0.6869845743457055,-65.49563675582273,-65.49563675582273,0.470756400274584,SARIMA
B,Moving_Average,Prophet,203.19927685445023,177.10925541480796,26.09002143964227,16.41100239092944,0.22288120282799384,-14.731032197350036,-14.731032197350036,0.1276589818849124,Prophet
B,Moving_Average,Simple_Exponential_Smoothing,203.19927685445023,243.8381772340173,-40.638900379567076,-41.42065473632164,-0.3471690132244336,16.666340291973622,16.666340291973622,-0.2772065772983723,Moving_Average
B,Moving_Average,Holt_Winters,203.19927685445023,179.62294129326145,23.576335561188785,-9.372081752999975,0.20140734802808224,-13.12545902624814,-13.12545902624814,0.10383855843224161,Holt_Winters
B,Moving_Average,DHR_ARIMA,203.19927685445023,287.456182635078,-84.25690578062776,-69.630487678267,-0.7197878526238863,29.311217107335917,29.311217107335917,-0.39248981752583845,Moving_Average
B,Moving_Average,LSTM,203.19927685445023,152.92681668695312,50.272460167497115,49.73730583059367,0.4294663542985495,-32.873541251046056,-32.873541251046056,0.2885621305250702,LSTM
B,Moving_Average,Chronos_Bolt_Tiny,203.19927685445023,126.11953364912506,77.07974320532517,71.41645538145156,0.6584749621237302,-61.11641945946881,-61.11641945946881,0.4515701311326394,Chronos_Bolt_Tiny
B,Moving_Average,TimesFM,203.19927685445023,80.67538403053535,122.52389282391488,133.2762600107742,1.046694142085641,-151.87271098398492,-151.87271098398492,0.7729504379581966,TimesFM
B,ARIMA,SARIMA,521.9705076308351,122.78225628042182,399.1882513504132,373.214580833617,3.410175718774862,-325.1188432624247,-325.1188432624247,1.3654303562365353,SARIMA
B,ARIMA,Prophet,521.9705076308351,177.10925541480796,344.8612522160271,325.40026438884547,2.94607234725715,-194.71667441000008,-194.71667441000008,1.1721117192984962,Prophet
B,ARIMA,Simple_Exponential_Smoothing,521.9705076308351,243.8381772340173,278.1323303968178,267.5686072615944,2.376022131204723,-114.0643083670559,-114.0643083670559,1.5933730524627803,Simple_Exponential_Smoothing
B,ARIMA,Holt_Winters,521.9705076308351,179.62294129326145,342.34756633757365,299.6171802449161,2.924598492457239,-190.59233963808654,-190.59233963808654,1.0545743040886668,Holt_Winters
B,ARIMA,DHR_ARIMA,521.9705076308351,287.456182635078,234.51432499575708,239.35877431964906,2.00340329180527,-81.58263386300864,-81.58263386300864,1.1268882017013166,DHR_ARIMA
B,ARIMA,LSTM,521.9705076308351,152.92681668695312,369.043690943882,358.7265678285097,3.152657498727706,-241.32045571793216,-241.32045571793216,1.5474074752726,LSTM
B,ARIMA,Chronos_Bolt_Tiny,521.9705076308351,126.11953364912506,395.85097398171,380.4057173793676,3.3816661065528866,-313.86967785894296,-313.86967785894296,1.4241339183464374,Chronos_Bolt_Tiny
B,ARIMA,TimesFM,521.9705076308351,80.67538403053535,441.2951236002997,442.26552200869025,3.7698852865147976,-547.0009581029958,-547.0009581029958,1.683550322070528,TimesFM
B,SARIMA,Prophet,122.78225628042182,177.10925541480796,-54.32699913438614,-47.81431644477152,-0.46410337151771164,30.67428577187949,30.67428577187949,-0.2645342221926573,SARIMA
B,SARIMA,Simple_Exponential_Smoothing,122.78225628042182,243.8381772340173,-121.05592095359549,-105.6459735720226,-1.034153587570139,49.64600799054335,49.64600799054335,-0.5288858396915735,SARIMA
B,SARIMA,Holt_Winters,122.78225628042182,179.62294129326145,-56.84068501283963,-73.59740058870094,-0.48557722631762323,31.644446195788916,31.644446195788916,-0.26180346659143294,SARIMA
B,SARIMA,DHR_ARIMA,122.78225628042182,287.456182635078,-164.67392635465617,-133.85580651396796,-1.4067724269695918,57.2866183795767,57.2866183795767,-0.7290550522552082,SARIMA
B,SARIMA,LSTM,122.78225628042182,152.92681668695312,-30.144560406531298,-14.488013005107291,-0.25751822004715597,19.711755635532736,19.711755635532736,-0.19328500501691254,SARIMA
B,SARIMA,Chronos_Bolt_Tiny,122.78225628042182,126.11953364912506,-3.3372773687032407,7.191136545750595,-0.028509612221975233,2.6461225094502976,2.6461225094502976,-0.028524539799103237,SARIMA
B,SARIMA,TimesFM,122.78225628042182,80.67538403053535,42.106872249886464,69.05094117507322,0.35970956773993557,-52.192961652279415,-52.192961652279415,0.3307548111815227,TimesFM
B,Prophet,Simple_Exponential_Smoothing,177.10925541480796,243.8381772340173,-66.72892181920935,-57.83165712725108,-0.5700502160524274,27.366068175275117,27.366068175275117,-0.3183545096581909,Prophet
B,Prophet,Holt_Winters,177.10925541480796,179.62294129326145,-2.5136858784534866,-25.783084143929415,-0.021473854799911596,1.3994236261555903,1.3994236261555903,-0.016661144405347234,Prophet
B,Prophet,DHR_ARIMA,177.10925541480796,287.456182635078,-110.34692722027003,-86.04149006919644,-0.9426690554518802,38.38739045677583,38.38739045677583,-0.5840521497351086,Prophet
B,Prophet,LSTM,177.10925541480796,152.92681668695312,24.182438727854844,33.32630343966423,0.20658515147055567,-15.813079256960666,-15.813079256960666,0.13739960881739732,LSTM
B,Prophet,Chronos_Bolt_Tiny,177.10925541480796,126.11953364912506,50.9897217656829,55.005452990522116,0.4355937592957364,-40.4296783300361,-40.4296783300361,0.2897777627894379,Chronos_Bolt_Tiny
B,Prophet,TimesFM,177.10925541480796,80.67538403053535,96.4338713842726,116.86525761984474,0.8238129392576472,-119.53320401644785,-119.53320401644785,0.6083834701390503,TimesFM
B,Simple_Exponential_Smoothing,Holt_Winters,243.8381772340173,179.62294129326145,64.21523594075586,32.04857298332166,0.5485763612525159,-35.75001916704773,-35.75001916704773,0.27581486698687824,Holt_Winters
B,Simple_Exponential_Smoothing,DHR_ARIMA,243.8381772340173,287.456182635078,-43.618005401060685,-28.209832941945365,-0.37261883939945273,15.17379275033134,15.17379275033134,-0.2592994172744579,Simple_Exponential_Smoothing
B,Simple_Exponential_Smoothing,LSTM,243.8381772340173,152.92681668695312,90.91136054706419,91.1579605669153,0.7766353675229831,-59.447625025219175,-59.447625025219175,0.5160586488821295,LSTM
B,Simple_Exponential_Smoothing,Chronos_Bolt_Tiny,243.8381772340173,126.11953364912506,117.71864358489225,112.8371101177732,1.0056439753481639,-93.33894614009216,-93.33894614009216,0.5669890580978375,Chronos_Bolt_Tiny
B,Simple_Exponential_Smoothing,TimesFM,243.8381772340173,80.67538403053535,163.16279320348195,174.69691474709583,1.3938631553100747,-202.24606943516426,-202.24606943516426,0.8630688954734083,TimesFM
B,Holt_Winters,DHR_ARIMA,179.62294129326145,287.456182635078,-107.83324134181655,-60.25840592526703,-0.9211952006519686,37.51293165912159,37.51293165912159,-0.48147487940355393,Holt_Winters
B,Holt_Winters,LSTM,179.62294129326145,152.92681668695312,26.69612460630833,59.109387583593644,0.22805900627046727,-17.456797430732042,-17.456797430732042,0.1429284789717058,LSTM
B,Holt_Winters,Chronos_Bolt_Tiny,179.62294129326145,126.11953364912506,53.50340764413639,80.78853713445153,0.457067614095648,-42.42277631075554,-42.42277631075554,0.2865928529206799,Chronos_Bolt_Tiny
B,Holt_Winters,TimesFM,179.62294129326145,80.67538403053535,98.9475572627261,142.64834176377417,0.8452867940575588,-122.64900682130597,-122.64900682130597,0.5481886315163932,TimesFM
B,DHR_ARIMA,LSTM,287.456182635078,152.92681668695312,134.52936594812488,119.36779350886067,1.1492542069224359,-87.96976806462368,-87.96976806462368,0.8046904998062723,LSTM
B,DHR_ARIMA,Chronos_Bolt_Tiny,287.456182635078,126.11953364912506,161.33664898595293,141.04694305971856,1.3782628147476166,-127.92360098222753,-127.92360098222753,0.7896033272051428,Chronos_Bolt_Tiny
B,DHR_ARIMA,TimesFM,287.456182635078,80.67538403053535,206.78079860454264,202.9067476890412,1.7664819947095274,-256.3121342270609,-256.3121342270609,1.1530330046529784,TimesFM
B,LSTM,Chronos_Bolt_Tiny,152.92681668695312,126.11953364912506,26.807283037828057,21.679149550857886,0.22900860782518073,-21.25545683700998,-21.25545683700998,0.19556081164532932,Chronos_Bolt_Tiny
B,LSTM,TimesFM,152.92681668695312,80.67538403053535,72.25143265641776,83.53895418018051,0.6172277877870915,-89.55821348067069,-89.55821348067069,0.5463978862749266,TimesFM
B,Chronos_Bolt_Tiny,TimesFM,126.11953364912506,80.67538403053535,45.444149618589705,61.859804629322625,0.3882191799619108,-56.32963532146218,-56.32963532146218,0.404501308169335,TimesFM
