Protocol,Weight_Scheme,Score_Type,Model,Trust_Score,Rank
B,Trust-balance,Missing Evidence Penalised,DHR_ARIMA,31.788662111053178,8
B,Trust-balance,Missing Evidence Penalised,LSTM,46.16249168148913,4
B,Trust-balance,Missing Evidence Penalised,Chronos_Bolt_Tiny,67.03131904093725,2
B,Trust-balance,Missing Evidence Penalised,TimesFM,89.138456,1
B,Trust-balance,Evidence Available,Naive,45.29246165634442,7
B,Trust-balance,Evidence Available,Daily_Seasonal_Naive,70.81976473541596,2
B,Trust-balance,Evidence Available,Weekly_Seasonal_Naive,51.27944780062802,5
B,Trust-balance,Evidence Available,Moving_Average,49.918169875050054,6
B,Trust-balance,Evidence Available,DHR_ARIMA,39.73582763881647,8
B,Trust-balance,Evidence Available,LSTM,57.7031146018614,4
B,Trust-balance,Evidence Available,Chronos_Bolt_Tiny,67.03131904093725,3
B,Trust-balance,Evidence Available,TimesFM,89.13845599999999,1
B,Uncertainty-heavy,Missing Evidence Penalised,Naive,29.986819172161155,7
B,Uncertainty-heavy,Missing Evidence Penalised,Daily_Seasonal_Naive,46.00677949894877,3
B,Uncertainty-heavy,Missing Evidence Penalised,Weekly_Seasonal_Naive,35.27420103892909,5
B,Uncertainty-heavy,Missing Evidence Penalised,Moving_Average,32.95943234294913,6
B,Uncertainty-heavy,Missing Evidence Penalised,DHR_ARIMA,25.850707283908868,8
B,Uncertainty-heavy,Missing Evidence Penalised,LSTM,36.79994888892095,4
B,Uncertainty-heavy,Missing Evidence Penalised,Chronos_Bolt_Tiny,66.97423943278116,2
B,Uncertainty-heavy,Missing Evidence Penalised,TimesFM,83.317298,1
B,Uncertainty-heavy,Evidence Available,Naive,46.13356795717101,7
B,Uncertainty-heavy,Evidence Available,Daily_Seasonal_Naive,70.77966076761348,2
B,Uncertainty-heavy,Evidence Available,Weekly_Seasonal_Naive,54.26800159835245,5
B,Uncertainty-heavy,Evidence Available,Moving_Average,50.7068189891525,6
B,Uncertainty-heavy,Evidence Available,DHR_ARIMA,39.770318898321335,8
B,Uncertainty-heavy,Evidence Available,LSTM,56.6153059829553,4
B,Uncertainty-heavy,Evidence Available,Chronos_Bolt_Tiny,66.97423943278116,3
B,Uncertainty-heavy,Evidence Available,TimesFM,83.317298,1
