Timestamp,Actual,Naive,Persistence_Enhanced_LSTM,Chronos_Bolt_Tiny,TimesFM
2024-02-13 00:00:00+00:00,49720.0,49937.0,50032.00319755077,51080.1953125,50268.6328125
2024-02-14 00:00:00+00:00,51844.0,49720.0,49819.40908432007,50269.03125,50031.5546875
2024-02-15 00:00:00+00:00,51942.0,51844.0,51983.63121080399,52599.2890625,52274.7265625
2024-02-16 00:00:00+00:00,52161.0,51942.0,52088.953998327255,52727.3203125,52354.09375
2024-02-17 00:00:00+00:00,51664.0,52161.0,52300.50252950192,52630.85546875,52478.8828125
2024-02-18 00:00:00+00:00,52130.0,51664.0,51773.07285690308,52022.18359375,51836.5
2024-02-19 00:00:00+00:00,51789.0,52130.0,52218.81592273712,52505.58984375,52280.49609375
2024-02-20 00:00:00+00:00,52275.0,51789.0,51845.48345482349,51754.0859375,51852.02734375
2024-02-21 00:00:00+00:00,51843.0,52275.0,52312.751430273056,52487.65625,52231.8828125
2024-02-22 00:00:00+00:00,51253.0,51843.0,51851.78819775581,52012.1640625,51783.26953125
2024-02-23 00:00:00+00:00,50743.0,51253.0,51220.28795027733,51199.8515625,51231.13671875
2024-02-24 00:00:00+00:00,51562.0,50743.0,50669.319705069065,50586.1640625,50738.375
2024-02-25 00:00:00+00:00,51722.0,51562.0,51477.65232932568,51734.49609375,51597.03515625
2024-02-26 00:00:00+00:00,54524.0,51722.0,51628.51808941364,51894.171875,51936.875
2024-02-27 00:00:00+00:00,57068.0,54524.0,54480.2273170948,54852.42578125,54348.2890625
2024-02-28 00:00:00+00:00,62512.0,57068.0,57105.48472690582,57122.91796875,56997.2109375
2024-02-29 00:00:00+00:00,61161.0,62512.0,62715.53677940369,63087.28125,63288.0546875
2024-03-01 00:00:00+00:00,62444.0,61161.0,61392.96916294098,61600.546875,60668.640625
2024-03-02 00:00:00+00:00,62042.0,62444.0,62706.40509080887,62658.26953125,62717.21875
2024-03-03 00:00:00+00:00,63142.0,62042.0,62287.70933866501,62479.92578125,62094.25
2024-03-04 00:00:00+00:00,68359.0,63142.0,63386.43546628952,63615.68359375,63330.8359375
2024-03-05 00:00:00+00:00,63796.0,68359.0,68721.38726735115,69627.0625,67964.9609375
2024-03-06 00:00:00+00:00,66120.0,63796.0,64052.35950136185,64534.8359375,63699.7890625
2024-03-07 00:00:00+00:00,66941.0,66120.0,66364.06979084015,66594.625,65679.03125
2024-03-08 00:00:00+00:00,68285.0,66941.0,67179.25853312016,67826.140625,66704.6640625
2024-03-09 00:00:00+00:00,68463.0,68285.0,68525.0546848774,69128.609375,68422.4375
2024-03-10 00:00:00+00:00,69026.0,68463.0,68681.69356012344,68848.234375,68845.453125
2024-03-11 00:00:00+00:00,72118.0,69026.0,69221.46074914932,69127.0078125,69664.859375
2024-03-12 00:00:00+00:00,71473.0,72118.0,72358.44468688965,73273.6328125,72245.9921875
2024-03-13 00:00:00+00:00,73121.0,71473.0,71691.39093399048,72552.890625,72341.484375
2024-03-14 00:00:00+00:00,71371.0,73121.0,73342.72676050663,74747.4140625,73765.28125
2024-03-15 00:00:00+00:00,69516.0,71371.0,71527.52326190472,72880.453125,72057.6640625
2024-03-16 00:00:00+00:00,65248.0,69516.0,69570.32097673416,70229.890625,70208.125
2024-03-17 00:00:00+00:00,68352.0,65248.0,65143.686992645264,65699.546875,64858.3828125
2024-03-18 00:00:00+00:00,67613.0,68352.0,68215.85591125488,69244.140625,68211.0625
2024-03-19 00:00:00+00:00,61897.0,67613.0,67448.34832429886,68642.203125,67376.453125
2024-03-20 00:00:00+00:00,67872.0,61897.0,61595.502735078335,61866.890625,61998.4609375
2024-03-21 00:00:00+00:00,65485.0,67872.0,67591.4657421112,68753.0625,67099.8359375
2024-03-22 00:00:00+00:00,63807.0,65485.0,65197.22412109375,65845.1171875,65709.890625
2024-03-23 00:00:00+00:00,64001.0,63807.0,63474.05322217941,63556.84375,63847.32421875
2024-03-24 00:00:00+00:00,67188.0,64001.0,63651.20205402374,63802.88671875,63467.47265625
2024-03-25 00:00:00+00:00,69898.0,67188.0,66893.1887626648,67048.859375,66868.15625
2024-03-26 00:00:00+00:00,69997.0,69898.0,69695.62046051025,69698.34375,69711.0
2024-03-27 00:00:00+00:00,69421.0,69997.0,69847.56206309795,70048.9375,70511.5
2024-03-28 00:00:00+00:00,70803.0,69421.0,69279.61503189802,69385.203125,69664.21875
2024-03-29 00:00:00+00:00,69903.0,70803.0,70690.9244762063,71364.3984375,71069.296875
2024-03-30 00:00:00+00:00,69613.0,69903.0,69779.94113820791,70543.1875,69948.6796875
2024-03-31 00:00:00+00:00,71285.0,69613.0,69475.38985389471,70212.9609375,69688.328125
2024-04-01 00:00:00+00:00,69699.0,71285.0,71168.18877100945,71892.65625,71060.3671875
2024-04-02 00:00:00+00:00,65469.0,69699.0,69556.45892590284,70437.8515625,69575.5859375
2024-04-03 00:00:00+00:00,65988.0,65469.0,65218.58049434424,65398.94140625,65408.6171875
2024-04-04 00:00:00+00:00,68538.0,65988.0,65680.42837357521,66001.7734375,65297.95703125
2024-04-05 00:00:00+00:00,67857.0,68538.0,68261.78442692757,68839.5,67841.3125
2024-04-06 00:00:00+00:00,68917.0,67857.0,67584.94049352407,68010.0859375,67647.03125
2024-04-07 00:00:00+00:00,69358.0,68917.0,68664.21173864603,68785.484375,68995.8671875
2024-04-08 00:00:00+00:00,71613.0,69358.0,69127.4145938158,69222.609375,69424.8984375
2024-04-09 00:00:00+00:00,69135.0,71613.0,71439.4056982398,71463.625,71547.8125
2024-04-10 00:00:00+00:00,70630.0,69135.0,68940.58220744133,69430.0703125,70011.9609375
2024-04-11 00:00:00+00:00,70015.0,70630.0,70444.5339101553,70971.3125,70679.015625
2024-04-12 00:00:00+00:00,67150.0,70015.0,69827.26773411036,70868.6796875,70056.6875
2024-04-13 00:00:00+00:00,64054.0,67150.0,66896.95698618889,67533.296875,67636.3984375
2024-04-14 00:00:00+00:00,65749.0,64054.0,63709.10856568813,64171.8203125,64409.26171875
2024-04-15 00:00:00+00:00,63438.0,65749.0,65383.346682071686,65646.8125,66020.59375
2024-04-16 00:00:00+00:00,63830.0,63438.0,63038.70155632496,63051.6875,63652.93359375
2024-04-17 00:00:00+00:00,61278.0,63830.0,63409.96847271919,63248.52734375,64100.70703125
2024-04-18 00:00:00+00:00,63515.0,61278.0,60821.35566329956,60453.1484375,61538.1015625
2024-04-19 00:00:00+00:00,63821.0,63515.0,63076.840351223946,62807.58984375,63133.41015625
2024-04-20 00:00:00+00:00,64990.0,63821.0,63411.1882558465,63274.875,63655.19921875
2024-04-21 00:00:00+00:00,64950.0,64990.0,64627.44824707508,64837.203125,64724.046875
2024-04-22 00:00:00+00:00,66855.0,64950.0,64623.10172617436,64673.7890625,64875.17578125
2024-04-23 00:00:00+00:00,66421.0,66855.0,66585.73844879866,66684.125,66627.71875
2024-04-24 00:00:00+00:00,64259.0,66421.0,66179.14864224195,66453.53125,66596.2109375
2024-04-25 00:00:00+00:00,64493.0,64259.0,63988.49289476872,64265.7109375,64421.5
2024-04-26 00:00:00+00:00,63745.0,64493.0,64212.132122695446,64701.453125,64171.53515625
2024-04-27 00:00:00+00:00,63429.0,63745.0,63450.95684349537,64173.4453125,63562.15234375
2024-04-28 00:00:00+00:00,63098.0,63429.0,63120.921332359314,63883.5859375,63292.60546875
2024-04-29 00:00:00+00:00,63832.0,63098.0,62781.34441137314,63353.19921875,62958.8046875
2024-04-30 00:00:00+00:00,60632.0,63832.0,63526.71979045868,63921.75390625,63468.2578125
2024-05-01 00:00:00+00:00,58256.0,60632.0,60280.09534740448,60244.875,61213.75390625
2024-05-02 00:00:00+00:00,59099.0,58256.0,57839.30325603485,57738.3671875,58436.72265625
2024-05-03 00:00:00+00:00,62915.0,59099.0,58667.21685886383,58454.140625,58783.9296875
2024-05-04 00:00:00+00:00,63899.0,62915.0,62549.17369157076,62558.10546875,62330.765625
2024-05-05 00:00:00+00:00,64021.0,63899.0,63603.92654287815,63094.37890625,63655.72265625
2024-05-06 00:00:00+00:00,63164.0,64021.0,63771.15837353468,63616.8515625,63978.13671875
2024-05-07 00:00:00+00:00,62320.0,63164.0,62923.25929450989,63422.47265625,62772.6796875
2024-05-08 00:00:00+00:00,61181.0,62320.0,62068.86221408844,62278.109375,62641.8203125
2024-05-09 00:00:00+00:00,63075.0,61181.0,60902.85375726223,60973.62890625,61287.34765625
2024-05-10 00:00:00+00:00,60793.0,63075.0,62821.237018704414,63219.2734375,62774.84375
2024-05-11 00:00:00+00:00,60816.0,60793.0,60513.92904520035,61355.1953125,60951.64453125
2024-05-12 00:00:00+00:00,61462.0,60816.0,60520.20684814453,61141.875,61035.2109375
2024-05-13 00:00:00+00:00,62934.0,61462.0,61177.4035012722,61552.734375,61578.12890625
2024-05-14 00:00:00+00:00,61543.0,62934.0,62688.01776731014,62774.6640625,62521.22265625
2024-05-15 00:00:00+00:00,66242.0,61543.0,61291.603915035725,61880.81640625,61627.1015625
2024-05-16 00:00:00+00:00,65252.0,66242.0,66079.39194107056,65777.875,65250.53515625
2024-05-17 00:00:00+00:00,67053.0,65252.0,65123.13897418976,64869.53515625,64830.0703125
2024-05-18 00:00:00+00:00,66930.0,67053.0,66974.00181591511,66589.53125,66578.4296875
2024-05-19 00:00:00+00:00,66275.0,66930.0,66868.70380818844,66179.9296875,66922.625
2024-05-20 00:00:00+00:00,71401.0,66275.0,66200.56848824024,65921.0390625,66233.0703125
2024-05-21 00:00:00+00:00,70136.0,71401.0,71425.88810110092,70275.1875,69994.4375
2024-05-22 00:00:00+00:00,69118.0,70136.0,70175.42146778107,69405.9140625,70131.3515625
2024-05-23 00:00:00+00:00,67945.0,69118.0,69122.07855629921,68399.1875,68823.171875
2024-05-24 00:00:00+00:00,68548.0,67945.0,67896.78263366222,67743.921875,67802.03125
2024-05-25 00:00:00+00:00,69275.0,68548.0,68477.81857085228,68321.8515625,68130.1640625
2024-05-26 00:00:00+00:00,68489.0,69275.0,69199.52809512615,69021.375,69084.2265625
2024-05-27 00:00:00+00:00,69392.0,68489.0,68385.00028014183,68671.3515625,68467.453125
2024-05-28 00:00:00+00:00,68327.0,69392.0,69282.48059177399,69764.34375,69260.3359375
2024-05-29 00:00:00+00:00,67564.0,68327.0,68187.02451241016,68933.2421875,68717.5078125
2024-05-30 00:00:00+00:00,68338.0,67564.0,67383.18597006798,68070.359375,67950.1875
2024-05-31 00:00:00+00:00,67477.0,68338.0,68150.84174776077,68463.4765625,68346.1875
2024-06-01 00:00:00+00:00,67723.0,67477.0,67268.16867357492,67830.2734375,67636.34375
2024-06-02 00:00:00+00:00,67752.0,67723.0,67499.7716870904,67716.7421875,67894.765625
2024-06-03 00:00:00+00:00,68801.0,67752.0,67518.24104261398,67794.53125,67818.375
2024-06-04 00:00:00+00:00,70564.0,68801.0,68582.04282659292,68666.8046875,68441.3828125
2024-06-05 00:00:00+00:00,71119.0,70564.0,70389.3692817688,70645.84375,70335.4375
2024-06-06 00:00:00+00:00,70775.0,71119.0,70978.98507916927,71150.921875,71371.2265625
2024-06-07 00:00:00+00:00,69326.0,70775.0,70640.81313759089,70894.125,70814.1796875
2024-06-08 00:00:00+00:00,69306.0,69326.0,69159.90816628933,69710.203125,69333.1015625
2024-06-09 00:00:00+00:00,69640.0,69306.0,69114.8481105566,69662.9921875,69433.59375
2024-06-10 00:00:00+00:00,69501.0,69640.0,69444.20358181,70186.640625,69678.859375
2024-06-11 00:00:00+00:00,67306.0,69501.0,69295.48648631573,69994.3203125,69431.5546875
2024-06-12 00:00:00+00:00,68243.0,67306.0,67048.60209405422,67833.4140625,67745.8828125
2024-06-13 00:00:00+00:00,66733.0,68243.0,67970.21048879623,68755.6875,68238.1953125
2024-06-14 00:00:00+00:00,65996.0,66733.0,66431.6612470746,67068.1015625,66789.0703125
2024-06-15 00:00:00+00:00,66182.0,65996.0,65657.65733623505,66184.65625,66248.2265625
2024-06-16 00:00:00+00:00,66622.0,66182.0,65834.63674414158,66279.7421875,66296.78125
2024-06-17 00:00:00+00:00,66475.0,66622.0,66280.79348814487,66433.5859375,66653.875
2024-06-18 00:00:00+00:00,65145.0,66475.0,66140.806658566,66323.5078125,66412.953125
2024-06-19 00:00:00+00:00,64946.0,65145.0,64794.93313103914,65508.6796875,65566.640625
2024-06-20 00:00:00+00:00,64845.0,64946.0,64580.99943053722,65189.328125,65227.83984375
2024-06-21 00:00:00+00:00,64102.0,64845.0,64481.11589580774,65116.109375,64835.46875
2024-06-22 00:00:00+00:00,64233.0,64102.0,63731.69029903412,63803.171875,64065.5859375
2024-06-23 00:00:00+00:00,63154.0,64233.0,63866.0109706521,63841.95703125,64175.60546875
2024-06-24 00:00:00+00:00,60252.0,63154.0,62776.71457242966,63047.85546875,63110.0390625
2024-06-25 00:00:00+00:00,61789.0,60252.0,59824.73596858978,60120.59765625,60364.734375
2024-06-26 00:00:00+00:00,60807.0,61789.0,61360.05867552757,61389.59375,61711.4453125
2024-06-27 00:00:00+00:00,61622.0,60807.0,60379.19634979963,60543.12109375,60809.5703125
2024-06-28 00:00:00+00:00,60315.0,61622.0,61212.35138595104,61410.71875,61357.46875
2024-06-29 00:00:00+00:00,60879.0,60315.0,59907.087180912495,60543.80859375,60397.625
2024-06-30 00:00:00+00:00,62676.0,60879.0,60483.50024324656,60709.015625,60766.5078125
2024-07-01 00:00:00+00:00,62829.0,62676.0,62331.191175699234,61846.796875,62568.7109375
2024-07-02 00:00:00+00:00,62033.0,62829.0,62524.89163219929,62387.53515625,63151.6875
2024-07-03 00:00:00+00:00,60142.0,62033.0,61739.49233025312,61371.13671875,62442.875
2024-07-04 00:00:00+00:00,57045.0,60142.0,59821.850227952,60091.3125,61153.62109375
2024-07-05 00:00:00+00:00,56632.0,57045.0,56659.30092930794,57288.67578125,58162.76953125
2024-07-06 00:00:00+00:00,58251.0,56632.0,56205.5355091095,56787.1640625,57289.8125
2024-07-07 00:00:00+00:00,55829.0,58251.0,57839.09570163488,58816.9375,58758.484375
2024-07-08 00:00:00+00:00,56710.0,55829.0,55402.882166326046,56194.8671875,56867.7421875
2024-07-09 00:00:00+00:00,58033.0,56710.0,56287.403210401535,56246.78125,57242.60546875
2024-07-10 00:00:00+00:00,57733.0,58033.0,57650.27146399021,57486.515625,58495.82421875
2024-07-11 00:00:00+00:00,57348.0,57733.0,57379.022154212,57503.234375,58316.93359375
2024-07-12 00:00:00+00:00,57889.0,57348.0,57009.77523708344,56909.53515625,57819.7734375
2024-07-13 00:00:00+00:00,59226.0,57889.0,57573.2214165926,56823.671875,58185.48828125
2024-07-14 00:00:00+00:00,60823.0,59226.0,58956.046305298805,57809.7734375,59297.234375
2024-07-15 00:00:00+00:00,64769.0,60823.0,60614.82973605394,59362.6640625,61049.51171875
2024-07-16 00:00:00+00:00,65081.0,64769.0,64678.85654890537,63236.60546875,64887.98828125
2024-07-17 00:00:00+00:00,64091.0,65081.0,65060.39794117212,63899.84375,65101.32421875
2024-07-18 00:00:00+00:00,63964.0,64091.0,64074.48561567068,63825.703125,64220.0859375
2024-07-19 00:00:00+00:00,66705.0,63964.0,63940.50324511528,64351.8828125,64080.26171875
2024-07-20 00:00:00+00:00,67155.0,66705.0,66732.21920192242,66979.8046875,66733.9140625
2024-07-21 00:00:00+00:00,68158.0,67155.0,67208.39668393135,67475.9453125,66853.859375
2024-07-22 00:00:00+00:00,67562.0,68158.0,68233.4656200409,68567.03125,67817.1640625
2024-07-23 00:00:00+00:00,65944.0,67562.0,67619.42514848709,68521.8203125,67250.015625
2024-07-24 00:00:00+00:00,65376.0,65944.0,65940.76514196396,66757.03125,66231.796875
2024-07-25 00:00:00+00:00,65796.0,65376.0,65319.6223526001,65676.3984375,65553.359375
2024-07-26 00:00:00+00:00,67921.0,65796.0,65708.79602909088,65876.1171875,65894.75
2024-07-27 00:00:00+00:00,67892.0,67921.0,67856.82465100288,67881.859375,67786.8515625
2024-07-28 00:00:00+00:00,68264.0,67892.0,67829.6811504364,67777.890625,67821.390625
2024-07-29 00:00:00+00:00,66780.0,68264.0,68201.1036939621,67998.265625,68177.9140625
2024-07-30 00:00:00+00:00,66171.0,66780.0,66675.20407676697,66779.234375,66795.828125
2024-07-31 00:00:00+00:00,64612.0,66171.0,66021.47920882702,65974.078125,66202.2578125
2024-08-01 00:00:00+00:00,65293.0,64612.0,64404.74129843712,64670.82421875,64768.99609375
2024-08-02 00:00:00+00:00,61421.0,65293.0,65064.07853615284,65378.4375,65242.72265625
2024-08-03 00:00:00+00:00,60672.0,61421.0,61111.7829092145,62198.9453125,62044.53515625
2024-08-04 00:00:00+00:00,58142.0,60672.0,60301.70196533203,61261.078125,61152.2109375
2024-08-05 00:00:00+00:00,54014.0,58142.0,57706.1814687252,59418.6953125,58790.63671875
2024-08-06 00:00:00+00:00,56053.0,54014.0,53484.26911103725,55543.44921875,55301.48046875
2024-08-07 00:00:00+00:00,55136.0,56053.0,55497.00763857365,57358.3125,56937.140625
2024-08-08 00:00:00+00:00,61699.0,55136.0,54584.17386245728,56238.3125,55979.14453125
2024-08-09 00:00:00+00:00,60860.0,61699.0,61246.86398679018,61627.2734375,62003.109375
2024-08-10 00:00:00+00:00,60952.0,60860.0,60494.62342143059,60358.140625,61271.4140625
2024-08-11 00:00:00+00:00,58725.0,60952.0,60635.37847280502,60247.140625,61223.64453125
2024-08-12 00:00:00+00:00,59362.0,58725.0,58403.15950065851,59126.55078125,59638.25390625
2024-08-13 00:00:00+00:00,60620.0,59362.0,59048.66311299801,59229.734375,59588.69921875
2024-08-14 00:00:00+00:00,58697.0,60620.0,60343.47923517227,60009.9296875,60637.8515625
2024-08-15 00:00:00+00:00,57557.0,58697.0,58407.69612342119,58893.78125,59159.0390625
2024-08-16 00:00:00+00:00,58883.0,57557.0,57241.03236526251,58275.96875,57973.99609375
2024-08-17 00:00:00+00:00,59487.0,58883.0,58581.22192955017,59219.859375,59177.66796875
2024-08-18 00:00:00+00:00,58430.0,59487.0,59212.57688641548,59389.80859375,59662.08984375
2024-08-19 00:00:00+00:00,59497.0,58430.0,58151.17160379887,58601.8984375,58890.53125
2024-08-20 00:00:00+00:00,59012.0,59497.0,59236.82942652702,58660.71484375,59594.80078125
2024-08-21 00:00:00+00:00,61159.0,59012.0,58758.84997487068,58012.54296875,59322.7734375
2024-08-22 00:00:00+00:00,60383.0,61159.0,60951.21445322037,58825.140625,60882.68359375
2024-08-23 00:00:00+00:00,64085.0,60383.0,60190.61332023144,59437.1796875,60451.25
2024-08-24 00:00:00+00:00,64174.0,64085.0,63971.87387943268,62516.54296875,63593.63671875
2024-08-25 00:00:00+00:00,64262.0,64174.0,64107.26403033733,63740.84765625,63932.828125
2024-08-26 00:00:00+00:00,62852.0,64262.0,64210.36737155914,64065.97265625,64130.125
2024-08-27 00:00:00+00:00,59427.0,62852.0,62772.17445468903,63187.59765625,63091.734375
2024-08-28 00:00:00+00:00,59033.0,59427.0,59253.94947212935,60151.375,59493.52734375
2024-08-29 00:00:00+00:00,59365.0,59033.0,58799.58391231298,59808.05859375,59401.39453125
2024-08-30 00:00:00+00:00,59113.0,59365.0,59107.94723331928,60387.484375,59735.4375
