Timestamp,Actual,Chronos_Bolt_Tiny_Native_Lower_80,Chronos_Bolt_Tiny_Native_Upper_80,Chronos_Bolt_Tiny_Calibrated_Lower_80,Chronos_Bolt_Tiny_Calibrated_Upper_80,TimesFM_Native_Lower_80,TimesFM_Native_Upper_80,TimesFM_Calibrated_Lower_80,TimesFM_Calibrated_Upper_80
2024-02-14 00:00:00+00:00,51844.0,48517.03125,51903.0546875,48653.9453125,51766.140625,49706.296875,50694.921875,49165.23046875,51235.98828125
2024-02-15 00:00:00+00:00,51942.0,50722.80078125,54398.71875,50859.71484375,54261.8046875,52025.921875,53114.0078125,51484.85546875,53655.07421875
2024-02-16 00:00:00+00:00,52161.0,50918.18359375,54476.4609375,51055.09765625,54339.546875,52098.4140625,52979.79296875,51557.34765625,53520.859375
2024-02-17 00:00:00+00:00,51664.0,50883.421875,54321.609375,51020.3359375,54184.6953125,52165.28125,53084.1171875,51624.21484375,53625.18359375
2024-02-18 00:00:00+00:00,52130.0,50348.65234375,53627.7578125,50485.56640625,53490.84375,51425.91015625,52335.94921875,50884.84375,52877.015625
2024-02-19 00:00:00+00:00,51789.0,50826.25390625,54113.92578125,50963.16796875,53977.01171875,51987.0859375,52946.46484375,51446.01953125,53487.53125
2024-02-20 00:00:00+00:00,52275.0,50085.96484375,53381.44140625,50222.87890625,53244.52734375,51461.1484375,52388.6953125,50920.08203125,52929.76171875
2024-02-21 00:00:00+00:00,51843.0,50884.375,54080.6796875,51021.2890625,53943.765625,52053.828125,52780.44140625,51512.76171875,53321.5078125
2024-02-22 00:00:00+00:00,51253.0,50402.92578125,53619.87890625,50539.83984375,53482.96484375,51535.21875,52350.66796875,50994.15234375,52891.734375
2024-02-23 00:00:00+00:00,50743.0,49567.48046875,52801.703125,49704.39453125,52664.7890625,50864.87109375,51805.46875,50323.8046875,52346.53515625
2024-02-24 00:00:00+00:00,51562.0,48893.10546875,52218.6875,49030.01953125,52081.7734375,50289.91796875,51325.0234375,49748.8515625,51866.08984375
2024-02-25 00:00:00+00:00,51722.0,50215.40625,53208.65625,50352.3203125,53071.7421875,51202.234375,52149.01953125,50661.16796875,52690.0859375
2024-02-26 00:00:00+00:00,54524.0,50327.140625,53410.56640625,50464.0546875,53273.65234375,51527.50390625,52481.6875,50986.4375,53022.75390625
2024-02-27 00:00:00+00:00,57068.0,53099.0546875,56530.6640625,53235.96875,56393.75,54102.98828125,55143.921875,53561.921875,55684.98828125
2024-02-28 00:00:00+00:00,62512.0,55038.08984375,59142.671875,55175.00390625,59005.7578125,56846.76953125,58121.9140625,56305.703125,58662.98046875
2024-02-29 00:00:00+00:00,61161.0,59615.36328125,67015.640625,59752.27734375,66878.7265625,63229.6796875,65804.1171875,62688.61328125,66345.18359375
2024-03-01 00:00:00+00:00,62444.0,58783.70703125,64230.67578125,58920.62109375,64093.76171875,60490.1796875,62227.546875,59949.11328125,62768.61328125
2024-03-02 00:00:00+00:00,62042.0,59902.9375,65261.3046875,60039.8515625,65124.390625,62474.40625,64036.890625,61933.33984375,64577.95703125
2024-03-03 00:00:00+00:00,63142.0,59860.765625,64985.1640625,59997.6796875,64848.25,61458.65625,62930.89453125,60917.58984375,63471.9609375
2024-03-04 00:00:00+00:00,68359.0,60953.84375,66191.0390625,61090.7578125,66054.125,62876.4296875,64235.796875,62335.36328125,64776.86328125
2024-03-05 00:00:00+00:00,63796.0,65480.4296875,74290.9375,65617.34375,74154.0234375,67325.671875,70134.5703125,66784.60546875,70675.63671875
2024-03-06 00:00:00+00:00,66120.0,61769.71875,67224.8203125,61906.6328125,67087.90625,62936.5,65533.3046875,62395.43359375,66074.37109375
2024-03-07 00:00:00+00:00,66941.0,63699.9609375,69405.078125,63836.875,69268.1640625,65083.5546875,67158.078125,64542.48828125,67699.14453125
2024-03-08 00:00:00+00:00,68285.0,64774.1640625,70884.15625,64911.078125,70747.2421875,65640.171875,68191.34375,65099.10546875,68732.41015625
2024-03-09 00:00:00+00:00,68463.0,65926.9296875,72389.203125,66063.84375,72252.2890625,67457.1796875,69468.15625,66916.11328125,70009.22265625
2024-03-10 00:00:00+00:00,69026.0,65833.234375,71863.8359375,65970.1484375,71726.921875,67732.7890625,69941.2734375,67191.72265625,70482.33984375
2024-03-11 00:00:00+00:00,72118.0,66225.953125,72000.171875,66362.8671875,71863.2578125,68465.671875,70731.125,67924.60546875,71272.19140625
2024-03-12 00:00:00+00:00,71473.0,69932.1171875,76609.03125,70069.03125,76472.1171875,71156.78125,74063.828125,70615.71484375,74604.89453125
2024-03-13 00:00:00+00:00,73121.0,69519.859375,75594.2109375,69656.7734375,75457.296875,71253.328125,74042.9296875,70712.26171875,74583.99609375
2024-03-14 00:00:00+00:00,71371.0,71655.46875,77848.6640625,71792.3828125,77711.75,72890.6640625,75405.40625,72349.59765625,75946.47265625
2024-03-15 00:00:00+00:00,69516.0,69890.9609375,75799.4609375,70027.875,75662.546875,71199.953125,74154.703125,70658.88671875,74695.76953125
2024-03-16 00:00:00+00:00,65248.0,66878.9375,73390.3125,67015.8515625,73253.3984375,69148.0546875,71541.28125,68606.98828125,72082.34765625
2024-03-17 00:00:00+00:00,68352.0,62029.609375,69131.453125,62166.5234375,68994.5390625,63804.3515625,67245.2421875,63263.28515625,67786.30859375
2024-03-18 00:00:00+00:00,67613.0,65988.5625,72368.734375,66125.4765625,72231.8203125,67372.8046875,70198.7890625,66831.73828125,70739.85546875
2024-03-19 00:00:00+00:00,61897.0,65425.5703125,71769.8828125,65562.484375,71632.96875,66513.3515625,69350.0859375,65972.28515625,69891.15234375
2024-03-20 00:00:00+00:00,67872.0,58145.71875,65522.44921875,58282.6328125,65385.53515625,60876.17578125,63738.859375,60335.109375,64279.92578125
2024-03-21 00:00:00+00:00,65485.0,65353.41015625,72013.515625,65490.32421875,71876.6015625,66169.9296875,69698.6484375,65628.86328125,70239.71484375
2024-03-22 00:00:00+00:00,63807.0,62539.9453125,69202.75,62676.859375,69065.8359375,64786.9296875,67640.734375,64245.86328125,68181.80078125
2024-03-23 00:00:00+00:00,64001.0,60171.58203125,67000.640625,60308.49609375,66863.7265625,62948.21484375,65241.55078125,62407.1484375,65782.6171875
2024-03-24 00:00:00+00:00,67188.0,60574.421875,67126.9921875,60711.3359375,66990.078125,62776.32421875,64822.6484375,62235.2578125,65363.71484375
2024-03-25 00:00:00+00:00,69898.0,63971.59765625,70204.90625,64108.51171875,70067.9921875,66274.046875,68508.4296875,65732.98046875,69049.49609375
